Posted Date,Reference Number,Payee,Address,Amount,Amount
6/18/2024,2.47934E+22,McDonalds 2600 140-7862477 FL,140-7862477   FL ,-8.03,-8.03
6/17/2024,2.41375E+22,WHOLEFDS APS #10516 ALTAMONTE SPRFL,ALTAMONTE SPR FL ,-32.28,-32.28
6/17/2024,2.4445E+22,DOMINO'S 5053 407-951-6685 FL,407-951-6685  FL ,-13.57,-13.57
6/17/2024,2.40731E+22,SECURITY FIRST INSURANCE 386-6735308 FL,386-6735308   FL ,-35.41,
6/17/2024,2.40731E+22,SECURITY FIRST INSURANCE 386-6735308 FL,386-6735308   FL ,-51.08,
6/14/2024,2.41375E+22,PUBLIX #442 ALTAMONTE SPGFL,ALTAMONTE SPG FL ,-20.74,-20.74
6/13/2024,2.40113E+22,COURSERA.ORG HTTPSWWW.COURCA,HTTPSWWW.COUR CA ,-49,-49
6/13/2024,2.4445E+22,PMT*OCTAXCOL TAG RENEWAL 407-464-0312 FL,407-464-0312  FL ,-40,-40
6/11/2024,2.47934E+22,McDonalds 2600 140-7862477 FL,140-7862477   FL ,-8.03,-8.03
6/11/2024,2.42698E+22,NEW GOLDEN SPARKLING SUPEORLANDO FL,ORLANDO       FL ,-72.99,-72.99
6/10/2024,2.41375E+22,WHOLEFDS WPN#10580 WINTER PARK FL,WINTER PARK   FL ,-25.03,-25.03
6/10/2024,2.41375E+22,PUBLIX #1488 WINTER PARK FL,WINTER PARK   FL ,-54.38,-54.38
6/10/2024,2.4445E+22,DOMINO'S 5053 407-951-6685 FL,407-951-6685  FL ,-8.65,-8.65
6/10/2024,2.47078E+22,KOY WAN HIBACHI BUFFET ALTAMONTE SPRFL,ALTAMONTE SPR FL ,-9.58,-9.58
6/8/2024,2.46922E+22,AMZN Mktp US*UM3R92FH3 Amzn.com/billWA,Amzn.com/bill WA ,-95.82,-95.82
6/6/2024,2.41375E+22,PUBLIX #1070 MAITLAND FL,MAITLAND      FL ,-27.35,-27.35
6/6/2024,2.44922E+22,TEMU.COM 130-248-0611 MA,130-248-0611  MA ,-46.32,-46.32
6/5/2024,2.44922E+22,LA FITNESS 949-255-8100 CA,949-255-8100  CA ,-10,-10
6/4/2024,2.47934E+22,McDonalds 2600 140-7862477 FL,140-7862477   FL ,-8.03,-8.03
6/3/2024,2.41375E+22,PUBLIX #442 ALTAMONTE SPGFL,ALTAMONTE SPG FL ,-47.9,-47.9
6/3/2024,2.44922E+22,EMBRYO OPTIONS 844-234-6241 CT,844-234-6241  CT ,-42,-42
6/3/2024,2.4445E+22,PAPA JOHNS #259 407-644-7272 FL,407-644-7272  FL ,-5.42,-5.42
6/1/2024,1.53832E+22,PAYMENT - THANK YOU,,1457.12,
6/1/2024,1.53832E+22,PAYMENT - THANK YOU,,86.49,
5/31/2024,2.46922E+22,WWW COSTCO COM 800-955-2292 WA,800-955-2292  WA ,-117.14,-117.14
5/30/2024,2.41375E+22,PUBLIX #1070 MAITLAND FL,MAITLAND      FL ,-55.22,-55.22
5/29/2024,2.46922E+22,WWW COSTCO COM 800-955-2292 WA,800-955-2292  WA ,-50.05,-50.05
5/28/2024,2.44922E+22,LA FITNESS 949-255-8100 CA,949-255-8100  CA ,-28.74,-28.74
5/28/2024,2.47934E+22,McDonalds 2600 140-7862477 FL,140-7862477   FL ,-8.03,-8.03
5/28/2024,2.4445E+22,DOMINO'S 5053 407-951-6685 FL,407-951-6685  FL ,-11.17,-11.17
5/27/2024,2.42317E+22,PETSMART # 0305 ALTAMONTE SPRFL,ALTAMONTE SPR FL ,-48.14,-48.14
5/27/2024,2.41375E+22,PUBLIX #1070 MAITLAND FL,MAITLAND      FL ,-27.44,-27.44
5/27/2024,2.41375E+22,WHOLEFDS WPN#10580 WINTER PARK FL,WINTER PARK   FL ,-45.43,-45.43
5/27/2024,2.44311E+22,SUNPASS*ACC13843420 888-865-5352 FL,888-865-5352  FL ,-10,-10
